"","X1","id","name","address","city","state","zip","county","telephone","type","owner","emergency_services","meets_criteria_for_meaningful_use_of_eh_rs","hospital_overall_rating","hospital_overall_rating_footnote","mortality_national_comparison","mortality_national_comparison_footnote","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","readmission_national_comparison_footnote","patient_experience_national_comparison","patient_experience_national_comparison_footnote","effectiveness_of_care_national_comparison","effectiveness_of_care_national_comparison_footnote","timeliness_of_care_national_comparison","timeliness_of_care_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison","efficient_use_of_medical_imaging_national_comparison_footnote","long","lat","overall_type","ny_metro"
"148",4932,"330119","Lenox Hill Hospital","100 East 77th Street","New York","NY",10021,"New York","(212) 439-2345","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-73.960611,40.773964,"medicare","Y"
"149",5020,"310008","Holy Name Medical Center","718 Teaneck Rd","Teaneck","NJ",7666,"Bergen","(201) 833-3000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"2",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.008629,40.882377,"medicare","Y"
"150",5086,"310001","Hackensack University Medical Center","30 Prospect Ave","Hackensack","NJ",7601,"Bergen","(551) 996-2000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Above the national average",NA,-74.057954,40.884032,"medicare","Y"
"151",5128,"310110","Robert Wood Johnson University Hospital Hamilton","One Hamilton Health Place","Hamilton","NJ",8690,"Mercer","(609) 586-7900","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,NA,NA,"medicare","Y"
"152",5203,"330195","Long Island Jewish Medical Center","270 - 05 76th Avenue","New Hyde Park","NY",11040,"Nassau","(718) 470-7000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Above the national average",NA,NA,NA,"medicare","Y"
"153",5229,"314022","St Barnabas Behavioral Health Center","1691 Highway 9  -  Cn2025","Toms River","NJ",8755,"Ocean","(732) 914-1688","Psychiatric","Voluntary non-profit - Private",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-74.2168,40.011532,"medicare","Y"
"154",5284,"310048","Robert Wood Johnson University Hospital Somerset","110 Rehill Ave","Somerville","NJ",8876,"Somerset","(908) 685-2200","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,-74.595695,40.568854,"medicare","Y"
"155",5287,"334004","Creedmoor Psychiatric Center","80-45 Winchester Blvd Bldg B","Queens Village","NY",11427,"Queens","(718) 264-4000","Psychiatric","Government - State",TRUE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,19,NA,19,"Not Available",19,-73.733614,40.739344,"medicare","Y"
"156",5295,"330128","Elmhurst Hospital Center","79-01 Broadway","Elmhurst","NY",11373,"Queens","(718) 334-1141","Acute Care Hospitals","Government - Local",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Not Available",5,-73.88598,40.74434,"medicare","Y"
"157",5310,"310040","Carepoint Health-Hoboken University Medical Center","308 Willow Ave","Hoboken","NJ",7030,"Hudson","(201) 418-1000","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.033559,40.741213,"medicare","Y"
"158",5324,"310021","St Francis Medical Center","601 Hamilton Ave","Trenton","NJ",8629,"Mercer","(609) 599-5000","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,-74.742576,40.217126,"medicare","Y"
