"Table with row headers in columns A and B, column headers in rows 4 and 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table HIC-4_ACS. Health Insurance Coverage Status and Type of Coverage by State All People: 2008 to 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Numbers in thousands. Civilian noninstitutionalized population. Margins of error calculated using replicate weights.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nation/State,Coverage,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,,2010,,,,2009,,,,2008,,,
,..Medicaid,"1,187",25,18.0,0.4,"1,181",25,18.0,0.4,"1,183",21,18.1,0.3,"1,096",22,16.8,0.3,"1,033",20,15.9,0.3,"1,013",22,15.7,0.3,988,19,15.3,0.3,"1,000",21,15.6,0.3,960,20,15.0,0.3,891,22,14.1,0.4,824,20,13.1,0.3
,..Medicare,"1,163",9,17.6,0.1,"1,141",9,17.4,0.1,"1,123",9,17.2,0.1,"1,091",8,16.7,0.1,"1,067",8,16.4,0.1,"1,040",9,16.1,0.1,"1,007",7,15.6,0.1,960,8,15.0,0.1,944,8,14.8,0.1,905,6,14.3,0.1,892,7,14.2,0.1
,..VA Care,158,6,2.4,0.1,151,6,2.3,0.1,151,6,2.3,0.1,141,5,2.2,0.1,151,6,2.3,0.1,148,5,2.3,0.1,143,5,2.2,0.1,144,6,2.3,0.1,140,5,2.2,0.1,131,5,2.1,0.1,139,5,2.2,0.1
IOWA,Total,"3,113",1,100.0,Z,"3,102",1,100.0,Z,"3,091",1,100.0,Z,"3,080",Z,100.0,Z,"3,063",1,100.0,Z,"3,045",1,100.0,Z,"3,029",Z,100.0,Z,"3,017",1,100.0,Z,"3,005",1,100.0,Z,"2,957",1,100.0,Z,"2,951",1,100.0,Z
,Any coverage,"2,966",9,95.3,0.3,"2,956",8,95.3,0.3,"2,960",8,95.7,0.2,"2,925",8,95.0,0.3,"2,874",8,93.8,0.3,"2,798",9,91.9,0.3,"2,775",10,91.6,0.3,"2,748",10,91.1,0.3,"2,725",10,90.7,0.3,"2,702",10,91.4,0.3,"2,696",11,91.3,0.4
,Uninsured,147,9,4.7,0.3,146,8,4.7,0.3,132,8,4.3,0.2,155,8,5.0,0.3,189,8,6.2,0.3,248,9,8.1,0.3,254,10,8.4,0.3,269,10,8.9,0.3,280,10,9.3,0.3,255,10,8.6,0.3,256,11,8.7,0.4
,Private,"2,328",17,74.8,0.5,"2,351",17,75.8,0.5,"2,327",17,75.3,0.6,"2,349",16,76.2,0.5,"2,316",17,75.6,0.6,"2,278",15,74.8,0.5,"2,290",15,75.6,0.5,"2,278",17,75.5,0.6,"2,274",17,75.7,0.6,"2,302",18,77.9,0.6,"2,326",16,78.8,0.5
,..Employer-based,"1,876",17,60.3,0.5,"1,885",19,60.8,0.6,"1,859",18,60.1,0.6,"1,862",18,60.4,0.6,"1,845",18,60.2,0.6,"1,834",18,60.2,0.6,"1,854",16,61.2,0.5,"1,849",20,61.3,0.7,"1,837",17,61.1,0.6,"1,866",19,63.1,0.7,"1,892",15,64.1,0.5
,..Direct-purchase,524,12,16.8,0.4,523,11,16.9,0.4,530,12,17.1,0.4,551,12,17.9,0.4,527,12,17.2,0.4,504,11,16.5,0.4,542,11,17.9,0.4,527,13,17.5,0.4,541,11,18.0,0.4,551,12,18.6,0.4,573,11,19.4,0.4
,..TRICARE,57,5,1.8,0.1,52,5,1.7,0.2,52,5,1.7,0.2,52,4,1.7,0.1,50,4,1.6,0.1,48,4,1.6,0.1,51,5,1.7,0.2,50,4,1.6,0.1,49,4,1.6,0.1,44,4,1.5,0.1,46,5,1.6,0.2
,Public,"1,102",15,35.4,0.5,"1,050",14,33.9,0.5,"1,069",16,34.6,0.5,"1,035",16,33.6,0.5,988,15,32.3,0.5,946,12,31.1,0.4,917,11,30.3,0.4,897,14,29.7,0.5,886,15,29.5,0.5,828,14,28.0,0.5,792,13,26.8,0.4
,..Medicaid,597,15,19.2,0.5,562,14,18.1,0.5,591,15,19.1,0.5,566,17,18.4,0.6,530,14,17.3,0.5,496,12,16.3,0.4,483,12,15.9,0.4,470,14,15.6,0.4,464,15,15.5,0.5,425,13,14.4,0.4,394,13,13.4,0.4
,..Medicare,566,4,18.2,0.1,552,5,17.8,0.2,545,5,17.6,0.2,536,5,17.4,0.1,523,4,17.1,0.1,516,4,16.9,0.1,505,4,16.7,0.1,491,4,16.3,0.1,483,5,16.1,0.2,465,4,15.7,0.1,463,5,15.7,0.2
,..VA Care,84,4,2.7,0.1,74,4,2.4,0.1,79,3,2.5,0.1,83,4,2.7,0.1,79,3,2.6,0.1,82,4,2.7,0.1,81,4,2.7,0.1,82,3,2.7,0.1,77,3,2.6,0.1,77,4,2.6,0.1,79,3,2.7,0.1
KANSAS,Total,"2,855",2,100.0,Z,"2,855",2,100.0,Z,"2,851",1,100.0,Z,"2,850",2,100.0,Z,"2,845",2,100.0,Z,"2,837",2,100.0,Z,"2,825",2,100.0,Z,"2,814",1,100.0,Z,"2,804",2,100.0,Z,"2,757",3,100.0,Z,"2,739",2,100.0,Z
,Any coverage,"2,604",10,91.2,0.4,"2,606",11,91.3,0.4,"2,602",9,91.3,0.3,"2,590",12,90.9,0.4,"2,554",11,89.8,0.4,"2,489",12,87.7,0.4,"2,470",10,87.4,0.4,"2,459",13,87.4,0.5,"2,415",12,86.1,0.4,"2,394",12,86.8,0.4,"2,426",12,88.6,0.4
,Uninsured,250,10,8.8,0.4,249,11,8.7,0.4,249,9,8.7,0.3,261,12,9.1,0.4,291,11,10.2,0.4,348,12,12.3,0.4,356,10,12.6,0.4,355,13,12.6,0.5,389,12,13.9,0.4,363,12,13.2,0.4,313,12,11.4,0.4
,Private,"2,121",17,74.3,0.6,"2,129",16,74.5,0.6,"2,142",16,75.1,0.6,"2,132",16,74.8,0.6,"2,094",15,73.6,0.5,"2,049",18,72.2,0.6,"2,044",15,72.3,0.5,"2,050",18,72.9,0.7,"2,049",17,73.0,0.6,"2,039",18,73.9,0.7,"2,109",15,77.0,0.6
,..Employer-based,"1,689",20,59.2,0.7,"1,672",16,58.6,0.6,"1,652",19,58.0,0.7,"1,659",19,58.2,0.7,"1,642",17,57.7,0.6,"1,609",19,56.7,0.7,"1,642",16,58.1,0.6,"1,653",18,58.8,0.7,"1,642",17,58.5,0.6,"1,644",16,59.6,0.6,"1,728",17,63.1,0.6
,..Direct-purchase,452,12,15.8,0.4,476,11,16.7,0.4,499,14,17.5,0.5,493,11,17.3,0.4,466,10,16.4,0.4,443,10,15.6,0.3,414,8,14.6,0.3,424,11,15.1,0.4,437,10,15.6,0.4,429,11,15.6,0.4,447,12,16.3,0.4
,..TRICARE,113,8,4.0,0.3,112,7,3.9,0.2,116,6,4.1,0.2,105,7,3.7,0.2,108,6,3.8,0.2,109,6,3.9,0.2,115,6,4.1,0.2,101,7,3.6,0.2,105,5,3.7,0.2,102,6,3.7,0.2,97,7,3.6,0.3
,Public,850,14,29.8,0.5,844,10,29.6,0.4,831,13,29.2,0.5,811,11,28.5,0.4,811,11,28.5,0.4,784,12,27.7,0.4,762,10,27.0,0.4,734,12,26.1,0.4,705,13,25.1,0.5,683,11,24.8,0.4,659,11,24.1,0.4
,..Medicaid,397,14,13.9,0.5,401,11,14.1,0.4,401,13,14.1,0.4,396,11,13.9,0.4,404,11,14.2,0.4,388,12,13.7,0.4,371,11,13.1,0.4,365,11,13.0,0.4,338,12,12.1,0.4,329,11,11.9,0.4,310,11,11.3,0.4
,..Medicare,497,6,17.4,0.2,484,5,16.9,0.2,476,4,16.7,0.2,458,4,16.1,0.2,458,4,16.1,0.2,442,5,15.6,0.2,433,5,15.3,0.2,415,5,14.8,0.2,414,5,14.7,0.2,395,4,14.3,0.1,389,4,14.2,0.1
,..VA Care,75,4,2.6,0.2,77,4,2.7,0.1,72,4,2.5,0.1,70,3,2.5,0.1,70,4,2.5,0.1,67,4,2.4,0.1,68,3,2.4,0.1,68,3,2.4,0.1,65,3,2.3,0.1,68,3,2.5,0.1,64,3,2.3,0.1
KENTUCKY,Total,"4,388",1,100.0,Z,"4,371",2,100.0,Z,"4,354",1,100.0,Z,"4,343",1,100.0,Z,"4,329",1,100.0,Z,"4,312",1,100.0,Z,"4,293",2,100.0,Z,"4,284",2,100.0,Z,"4,243",4,100.0,Z,"4,225",2,100.0,Z,"4,188",2,100.0,Z
,Any coverage,"4,141",11,94.4,0.3,"4,136",13,94.6,0.3,"4,131",10,94.9,0.2,"4,081",11,94.0,0.2,"3,962",11,91.5,0.3,"3,696",14,85.7,0.3,"3,697",15,86.1,0.3,"3,666",15,85.6,0.3,"3,596",17,84.7,0.4,"3,612",16,85.5,0.4,"3,637",16,86.8,0.4
,Uninsured,248,11,5.6,0.3,235,12,5.4,0.3,223,10,5.1,0.2,261,11,6.0,0.2,366,11,8.5,0.3,616,14,14.3,0.3,595,14,13.9,0.3,618,15,14.4,0.3,647,16,15.3,0.4,613,16,14.5,0.4,551,16,13.2,0.4
,Private,"2,818",25,64.2,0.6,"2,821",29,64.5,0.7,"2,842",26,65.3,0.6,"2,821",24,65.0,0.6,"2,826",21,65.3,0.5,"2,769",24,64.2,0.6,"2,768",22,64.5,0.5,"2,745",24,64.1,0.6,"2,724",26,64.2,0.6,"2,772",24,65.6,0.6,"2,845",24,67.9,0.6
,..Employer-based,"2,338",25,53.3,0.6,"2,328",26,53.3,0.6,"2,324",25,53.4,0.6,"2,316",24,53.3,0.6,"2,325",22,53.7,0.5,"2,329",22,54.0,0.5,"2,330",21,54.3,0.5,"2,315",25,54.0,0.6,"2,272",27,53.5,0.6,"2,338",25,55.3,0.6,"2,400",24,57.3,0.6
,..Direct-purchase,519,14,11.8,0.3,524,13,12.0,0.3,542,12,12.4,0.3,541,15,12.5,0.3,539,11,12.4,0.2,494,12,11.5,0.3,512,12,11.9,0.3,515,13,12.0,0.3,527,14,12.4,0.3,522,13,12.4,0.3,582,15,13.9,0.4
,..TRICARE,127,8,2.9,0.2,123,7,2.8,0.2,132,9,3.0,0.2,125,8,2.9,0.2,120,6,2.8,0.1,118,8,2.7,0.2,128,7,3.0,0.2,115,7,2.7,0.2,113,7,2.7,0.2,112,6,2.6,0.1,113,6,2.7,0.1
,Public,"1,909",22,43.5,0.5,"1,890",24,43.2,0.5,"1,873",24,43.0,0.5,"1,827",19,42.1,0.4,"1,701",19,39.3,0.4,"1,454",17,33.7,0.4,"1,435",17,33.4,0.4,"1,431",18,33.4,0.4,"1,383",18,32.6,0.4,"1,343",17,31.8,0.4,"1,328",20,31.7,0.5
,..Medicaid,"1,181",22,26.9,0.5,"1,179",24,27.0,0.6,"1,165",23,26.7,0.5,"1,136",20,26.2,0.5,"1,030",19,23.8,0.4,790,17,18.3,0.4,801,16,18.7,0.4,809,19,18.9,0.5,786,18,18.5,0.4,764,16,18.1,0.4,758,20,18.1,0.5
,..Medicare,866,8,19.7,0.2,853,8,19.5,0.2,834,7,19.2,0.2,826,8,19.0,0.2,802,7,18.5,0.2,770,7,17.9,0.2,751,6,17.5,0.1,742,7,17.3,0.2,711,7,16.8,0.2,689,6,16.3,0.1,686,7,16.4,0.2
,..VA Care,124,5,2.8,0.1,129,6,3.0,0.1,124,5,2.8,0.1,119,5,2.7,0.1,113,5,2.6,0.1,123,5,2.8,0.1,119,5,2.8,0.1,120,6,2.8,0.1,114,4,2.7,0.1,110,5,2.6,0.1,117,5,2.8,0.1
LOUISIANA,Total,"4,556",2,100.0,Z,"4,580",2,100.0,Z,"4,577",2,100.0,Z,"4,567",2,100.0,Z,"4,548",2,100.0,Z,"4,523",1,100.0,Z,"4,499",1,100.0,Z,"4,473",2,100.0,Z,"4,440",2,100.0,Z,"4,392",2,100.0,Z,"4,313",2,100.0,Z
,Any coverage,"4,193",13,92.0,0.3,"4,198",13,91.6,0.3,"4,107",17,89.7,0.4,"4,022",17,88.1,0.4,"3,876",16,85.2,0.3,"3,772",17,83.4,0.4,"3,739",16,83.1,0.4,"3,689",18,82.5,0.4,"3,649",18,82.2,0.4,"3,629",22,82.6,0.5,"3,580",16,83.0,0.4
,Uninsured,363,13,8.0,0.3,383,13,8.4,0.3,470,17,10.3,0.4,546,17,11.9,0.4,672,16,14.8,0.3,751,17,16.6,0.4,760,16,16.9,0.4,784,17,17.5,0.4,791,18,17.8,0.4,762,22,17.4,0.5,733,17,17.0,0.4
,Private,"2,694",28,59.1,0.6,"2,760",30,60.3,0.7,"2,811",28,61.4,0.6,"2,853",26,62.5,0.6,"2,738",29,60.2,0.6,"2,673",29,59.1,0.6,"2,650",22,58.9,0.5,"2,620",24,58.6,0.5,"2,593",26,58.4,0.6,"2,666",27,60.7,0.6,"2,659",26,61.6,0.6
,..Employer-based,"2,201",28,48.3,0.6,"2,247",27,49.1,0.6,"2,233",32,48.8,0.7,"2,295",26,50.2,0.6,"2,240",27,49.3,0.6,"2,216",31,49.0,0.7,"2,180",27,48.5,0.6,"2,162",23,48.3,0.5,"2,141",25,48.2,0.6,"2,216",26,50.4,0.6,"2,208",23,51.2,0.5
,..Direct-purchase,533,17,11.7,0.4,550,17,12.0,0.4,606,16,13.2,0.4,574,15,12.6,0.3,521,14,11.5,0.3,500,12,11.1,0.3,548,15,12.2,0.3,542,15,12.1,0.3,533,15,12.0,0.3,543,13,12.4,0.3,601,16,13.9,0.4
,..TRICARE,131,10,2.9,0.2,125,8,2.7,0.2,117,7,2.6,0.1,129,8,2.8,0.2,128,7,2.8,0.2,115,7,2.5,0.2,126,7,2.8,0.2,113,7,2.5,0.2,102,7,2.3,0.1,118,7,2.7,0.2,111,6,2.6,0.1
,Public,"2,023",25,44.4,0.6,"1,952",25,42.6,0.5,"1,811",24,39.6,0.5,"1,658",18,36.3,0.4,"1,595",20,35.1,0.4,"1,558",20,34.5,0.4,"1,564",18,34.8,0.4,"1,521",18,34.0,0.4,"1,509",18,34.0,0.4,"1,406",18,32.0,0.4,"1,382",20,32.0,0.5
,..Medicaid,"1,339",25,29.4,0.5,"1,307",23,28.5,0.5,"1,166",23,25.5,0.5,"1,034",19,22.6,0.4,995,21,21.9,0.5,987,20,21.8,0.4,993,17,22.1,0.4,970,18,21.7,0.4,970,18,21.8,0.4,877,20,20.0,0.4,882,20,20.4,0.5
,..Medicare,827,9,18.1,0.2,796,8,17.4,0.2,793,8,17.3,0.2,766,8,16.8,0.2,738,6,16.2,0.1,710,7,15.7,0.2,693,7,15.4,0.2,678,7,15.2,0.2,658,7,14.8,0.2,642,6,14.6,0.1,622,6,14.4,0.1
,..VA Care,106,5,2.3,0.1,102,7,2.2,0.2,97,5,2.1,0.1,104,5,2.3,0.1,99,4,2.2,0.1,100,5,2.2,0.1,106,5,2.4,0.1,96,4,2.1,0.1,97,5,2.2,0.1,99,4,2.3,0.1,94,5,2.2,0.1
MAINE,Total,"1,323",1,100.0,Z,"1,322",1,100.0,Z,"1,317",1,100.0,Z,"1,315",1,100.0,Z,"1,316",1,100.0,Z,"1,314",1,100.0,Z,"1,316",Z,100.0,Z,"1,314",1,100.0,Z,"1,313",1,100.0,Z,"1,301",1,100.0,Z,"1,299",1,100.0,Z
,Any coverage,"1,217",6,92.0,0.5,"1,215",6,91.9,0.5,"1,211",7,92.0,0.5,"1,204",7,91.6,0.5,"1,182",8,89.9,0.6,"1,167",7,88.8,0.5,"1,181",7,89.8,0.5,"1,174",7,89.3,0.5,"1,180",7,89.9,0.5,"1,164",7,89.5,0.5,"1,164",7,89.6,0.5
,Uninsured,106,6,8.0,0.5,107,6,8.1,0.5,106,7,8.0,0.5,111,7,8.4,0.5,134,8,10.1,0.6,147,7,11.2,0.5,135,7,10.2,0.5,140,7,10.7,0.5,133,6,10.1,0.5,137,7,10.5,0.5,135,7,10.4,0.5
,Private,927,11,70.1,0.9,932,12,70.5,0.9,926,12,70.3,0.9,905,11,68.8,0.8,876,11,66.5,0.8,853,12,64.9,0.9,859,10,65.3,0.8,864,13,65.7,1.0,874,12,66.5,0.9,883,12,67.9,0.9,903,11,69.5,0.9
,..Employer-based,732,13,55.3,0.9,729,12,55.2,0.9,720,12,54.7,0.9,702,12,53.4,0.9,698,13,53.0,1.0,698,13,53.1,1.0,705,11,53.6,0.8,713,13,54.3,1.0,723,12,55.0,0.9,726,13,55.8,1.0,749,13,57.6,1.0
,..Direct-purchase,203,8,15.3,0.6,211,8,15.9,0.6,215,7,16.3,0.6,203,7,15.5,0.5,177,7,13.5,0.5,157,6,11.9,0.5,175,6,13.3,0.5,163,6,12.4,0.5,166,6,12.7,0.4,176,7,13.5,0.5,199,8,15.3,0.6
,..TRICARE,42,4,3.2,0.3,44,4,3.3,0.3,45,5,3.4,0.3,42,4,3.2,0.3,44,4,3.3,0.3,45,4,3.4,0.3,40,4,3.0,0.3,42,3,3.2,0.2,42,4,3.2,0.3,41,4,3.1,0.3,40,5,3.1,0.3
,Public,494,10,37.3,0.7,478,9,36.2,0.7,480,10,36.4,0.7,492,10,37.4,0.7,499,10,37.9,0.8,509,10,38.8,0.7,515,10,39.2,0.8,496,12,37.7,0.9,489,9,37.2,0.7,468,11,36.0,0.8,456,10,35.1,0.8
,..Medicaid,245,9,18.5,0.7,235,9,17.8,0.7,253,10,19.2,0.7,264,10,20.1,0.8,275,9,20.9,0.7,296,10,22.5,0.7,311,11,23.6,0.8,302,12,23.0,0.9,301,10,22.9,0.7,282,11,21.7,0.9,275,10,21.2,0.8
,..Medicare,306,4,23.1,0.3,300,4,22.7,0.3,291,5,22.1,0.4,288,4,21.9,0.3,278,4,21.1,0.3,270,4,20.5,0.3,262,4,19.9,0.3,248,3,18.9,0.2,243,3,18.5,0.3,235,3,18.1,0.3,231,4,17.8,0.3
,..VA Care,53,3,4.0,0.2,47,3,3.6,0.2,41,3,3.1,0.2,44,3,3.4,0.2,47,3,3.6,0.2,45,2,3.4,0.2,43,2,3.3,0.2,47,3,3.5,0.2,43,2,3.3,0.2,42,3,3.2,0.2,41,3,3.2,0.2
MARYLAND,Total,"5,943",3,100.0,Z,"5,958",2,100.0,Z,"5,919",2,100.0,Z,"5,909",2,100.0,Z,"5,886",2,100.0,Z,"5,834",2,100.0,Z,"5,788",2,100.0,Z,"5,737",2,100.0,Z,"5,688",3,100.0,Z,"5,590",4,100.0,Z,"5,530",3,100.0,Z
,Any coverage,"5,586",15,94.0,0.2,"5,592",15,93.9,0.2,"5,555",16,93.9,0.3,"5,519",11,93.4,0.2,"5,423",16,92.1,0.3,"5,241",18,89.8,0.3,"5,191",16,89.7,0.3,"5,138",20,89.6,0.3,"5,047",16,88.7,0.3,"4,969",15,88.9,0.3,"4,934",17,89.2,0.3
,Uninsured,357,15,6.0,0.2,366,15,6.1,0.2,363,16,6.1,0.3,389,11,6.6,0.2,463,16,7.9,0.3,593,17,10.2,0.3,598,16,10.3,0.3,598,20,10.4,0.3,641,17,11.3,0.3,621,15,11.1,0.3,595,16,10.8,0.3
,Private,"4,398",27,74.0,0.5,"4,428",27,74.3,0.5,"4,407",29,74.5,0.5,"4,381",24,74.1,0.4,"4,332",29,73.6,0.5,"4,292",26,73.6,0.5,"4,251",27,73.5,0.5,"4,245",28,74.0,0.5,"4,222",26,74.2,0.5,"4,247",25,76.0,0.4,"4,320",24,78.1,0.4
,..Employer-based,"3,742",29,63.0,0.5,"3,784",29,63.5,0.5,"3,716",28,62.8,0.5,"3,700",28,62.6,0.5,"3,703",29,62.9,0.5,"3,699",31,63.4,0.5,"3,691",30,63.8,0.5,"3,692",32,64.4,0.6,"3,657",30,64.3,0.5,"3,685",26,65.9,0.5,"3,795",24,68.6,0.4
,..Direct-purchase,739,16,12.4,0.3,717,16,12.0,0.3,761,18,12.9,0.3,751,13,12.7,0.2,726,17,12.3,0.3,671,19,11.5,0.3,685,16,11.8,0.3,687,19,12.0,0.3,683,15,12.0,0.3,717,18,12.8,0.3,831,18,15.0,0.3
,..TRICARE,225,12,3.8,0.2,206,11,3.5,0.2,213,13,3.6,0.2,218,10,3.7,0.2,206,11,3.5,0.2,222,9,3.8,0.2,209,10,3.6,0.2,202,9,3.5,0.2,199,10,3.5,0.2,203,9,3.6,0.2,192,10,3.5,0.2
,Public,"1,978",26,33.3,0.4,"1,918",25,32.2,0.4,"1,889",26,31.9,0.4,"1,860",23,31.5,0.4,"1,805",25,30.7,0.4,"1,644",19,28.2,0.3,"1,596",20,27.6,0.3,"1,526",21,26.6,0.4,"1,464",22,25.7,0.4,"1,349",21,24.1,0.4,"1,252",20,22.6,0.4
,..Medicaid,"1,115",26,18.8,0.4,"1,067",26,17.9,0.4,"1,067",26,18.0,0.4,"1,058",23,17.9,0.4,"1,027",24,17.4,0.4,892,19,15.3,0.3,875,19,15.1,0.3,839,19,14.6,0.3,801,23,14.1,0.4,703,19,12.6,0.3,631,19,11.4,0.3
,..Medicare,986,10,16.6,0.2,956,9,16.0,0.2,934,9,15.8,0.1,904,8,15.3,0.1,876,8,14.9,0.1,839,8,14.4,0.1,809,7,14.0,0.1,781,9,13.6,0.1,751,6,13.2,0.1,733,8,13.1,0.1,712,8,12.9,0.1
,..VA Care,118,5,2.0,0.1,119,5,2.0,0.1,115,5,1.9,0.1,105,5,1.8,0.1,107,5,1.8,0.1,110,4,1.9,0.1,111,6,1.9,0.1,96,4,1.7,0.1,96,5,1.7,0.1,98,5,1.8,0.1,102,5,1.8,0.1
MASSACHUSETTS,Total,"6,831",1,100.0,Z,"6,786",1,100.0,Z,"6,736",1,100.0,Z,"6,718",1,100.0,Z,"6,668",1,100.0,Z,"6,614",1,100.0,Z,"6,567",1,100.0,Z,"6,508",1,100.0,Z,"6,478",2,100.0,Z,"6,496",1,100.0,Z,"6,399",1,100.0,Z
,Any coverage,"6,642",11,97.2,0.2,"6,596",10,97.2,0.1,"6,565",11,97.5,0.2,"6,529",9,97.2,0.1,"6,450",8,96.7,0.1,"6,367",11,96.3,0.2,"6,313",11,96.1,0.2,"6,231",14,95.7,0.2,"6,192",14,95.6,0.2,"6,225",12,95.8,0.2,"6,150",12,96.1,0.2
,Uninsured,189,11,2.8,0.2,190,10,2.8,0.1,171,10,2.5,0.2,189,9,2.8,0.1,219,8,3.3,0.1,247,10,3.7,0.2,254,11,3.9,0.2,277,14,4.3,0.2,286,14,4.4,0.2,271,12,4.2,0.2,249,12,3.9,0.2
,Private,"5,053",29,74.0,0.4,"5,009",29,73.8,0.4,"4,975",32,73.9,0.5,"4,933",30,73.4,0.4,"4,902",28,73.5,0.4,"4,926",28,74.5,0.4,"4,911",23,74.8,0.3,"4,878",30,75.0,0.5,"4,923",26,76.0,0.4,"5,054",24,77.8,0.4,"5,125",25,80.1,0.4
,..Employer-based,"4,290",31,62.8,0.5,"4,261",29,62.8,0.4,"4,245",35,63.0,0.5,"4,232",31,63.0,0.5,"4,250",31,63.7,0.5,"4,275",30,64.6,0.5,"4,290",24,65.3,0.4,"4,248",31,65.3,0.5,"4,281",30,66.1,0.5,"4,418",24,68.0,0.4,"4,475",28,69.9,0.4
,..Direct-purchase,946,19,13.9,0.3,904,18,13.3,0.3,912,18,13.5,0.3,871,19,13.0,0.3,813,18,12.2,0.3,815,16,12.3,0.2,838,16,12.8,0.3,856,18,13.2,0.3,884,16,13.6,0.3,899,18,13.8,0.3,993,20,15.5,0.3
,..TRICARE,74,7,1.1,0.1,82,7,1.2,0.1,79,6,1.2,0.1,73,5,1.1,0.1,71,5,1.1,0.1,72,5,1.1,0.1,73,5,1.1,0.1,74,6,1.1,0.1,67,5,1.0,0.1,74,6,1.1,0.1,68,5,1.1,0.1
,Public,"2,499",28,36.6,0.4,"2,489",30,36.7,0.4,"2,459",27,36.5,0.4,"2,456",28,36.6,0.4,"2,369",27,35.5,0.4,"2,246",25,34.0,0.4,"2,202",22,33.5,0.3,"2,137",28,32.8,0.4,"2,054",25,31.7,0.4,"1,984",23,30.5,0.4,"1,837",22,28.7,0.3
,..Medicaid,"1,570",29,23.0,0.4,"1,570",30,23.1,0.4,"1,583",27,23.5,0.4,"1,589",28,23.6,0.4,"1,521",27,22.8,0.4,"1,432",25,21.7,0.4,"1,413",23,21.5,0.3,"1,367",27,21.0,0.4,"1,305",25,20.1,0.4,"1,242",23,19.1,0.4,"1,122",21,17.5,0.3
,..Medicare,"1,188",8,17.4,0.1,"1,150",8,16.9,0.1,"1,123",7,16.7,0.1,"1,105",9,16.5,0.1,"1,083",7,16.2,0.1,"1,049",8,15.9,0.1,"1,025",7,15.6,0.1,987,8,15.2,0.1,959,7,14.8,0.1,946,8,14.6,0.1,916,8,14.3,0.1
,..VA Care,97,5,1.4,0.1,106,6,1.6,0.1,101,4,1.5,0.1,101,5,1.5,0.1,100,4,1.5,0.1,96,4,1.4,0.1,96,5,1.5,0.1,102,5,1.6,0.1,93,5,1.4,0.1,99,6,1.5,0.1,101,5,1.6,0.1
MICHIGAN,Total,"9,889",1,100.0,Z,"9,853",1,100.0,Z,"9,818",1,100.0,Z,"9,811",1,100.0,Z,"9,799",1,100.0,Z,"9,784",1,100.0,Z,"9,773",1,100.0,Z,"9,762",1,100.0,Z,"9,764",1,100.0,Z,"9,835",2,100.0,Z,"9,866",1,100.0,Z
,Any coverage,"9,354",14,94.6,0.1,"9,344",15,94.8,0.2,"9,291",14,94.6,0.1,"9,214",14,93.9,0.1,"8,962",18,91.5,0.2,"8,713",19,89.0,0.2,"8,658",15,88.6,0.2,"8,612",21,88.2,0.2,"8,556",20,87.6,0.2,"8,632",21,87.8,0.2,"8,785",19,89.0,0.2
,Uninsured,535,14,5.4,0.1,510,15,5.2,0.2,527,14,5.4,0.1,597,14,6.1,0.1,837,18,8.5,0.2,"1,072",19,11.0,0.2,"1,114",15,11.4,0.2,"1,150",21,11.8,0.2,"1,207",20,12.4,0.2,"1,203",21,12.2,0.2,"1,081",19,11.0,0.2
,Private,"7,028",31,71.1,0.3,"7,038",32,71.4,0.3,"6,991",31,71.2,0.3,"6,967",32,71.0,0.3,"6,912",31,70.5,0.3,"6,760",32,69.1,0.3,"6,718",32,68.7,0.3,"6,674",32,68.4,0.3,"6,696",34,68.6,0.3,"6,872",35,69.9,0.4,"7,212",31,73.1,0.3
,..Employer-based,"5,979",33,60.5,0.3,"5,979",36,60.7,0.4,"5,878",32,59.9,0.3,"5,876",33,59.9,0.3,"5,845",35,59.6,0.4,"5,815",35,59.4,0.4,"5,834",33,59.7,0.3,"5,789",31,59.3,0.3,"5,810",35,59.5,0.4,"5,987",35,60.9,0.4,"6,358",33,64.4,0.3
,..Direct-purchase,"1,287",19,13.0,0.2,"1,288",17,13.1,0.2,"1,340",22,13.7,0.2,"1,305",15,13.3,0.2,"1,257",23,12.8,0.2,"1,166",18,11.9,0.2,"1,192",20,12.2,0.2,"1,194",19,12.2,0.2,"1,225",19,12.5,0.2,"1,247",19,12.7,0.2,"1,292",20,13.1,0.2
,..TRICARE,128,8,1.3,0.1,123,7,1.3,0.1,124,7,1.3,0.1,118,7,1.2,0.1,118,7,1.2,0.1,117,6,1.2,0.1,111,6,1.1,0.1,107,5,1.1,0.1,107,6,1.1,0.1,103,6,1.1,0.1,101,6,1.0,0.1
,Public,"3,865",28,39.1,0.3,"3,799",27,38.6,0.3,"3,795",28,38.7,0.3,"3,738",26,38.1,0.3,"3,512",28,35.8,0.3,"3,376",26,34.5,0.3,"3,330",26,34.1,0.3,"3,306",26,33.9,0.3,"3,238",28,33.2,0.3,"3,109",27,31.6,0.3,"2,923",23,29.6,0.2
