"","X1","X1_6","X1_5","X1_4","X1_3","X1_2","X1_1","id","name","address","city","state","zip","county","telephone","type","owner","emergency_services","meets_criteria_for_meaningful_use_of_eh_rs","hospital_overall_rating","hospital_overall_rating_footnote","mortality_national_comparison","mortality_national_comparison_footnote","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","readmission_national_comparison_footnote","patient_experience_national_comparison","patient_experience_national_comparison_footnote","effectiveness_of_care_national_comparison","effectiveness_of_care_national_comparison_footnote","timeliness_of_care_national_comparison","timeliness_of_care_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison","efficient_use_of_medical_imaging_national_comparison_footnote","long","lat","overall_type","ny_metro"
"3353",3353,3353,3353,3353,3353,3353,3353,"453302","Childrens Medical Ctr Of Dallas","1935 Medical District Drive","Dallas","TX",75235,"Dallas","(214) 456-7000","Childrens","Voluntary non-profit - Private",TRUE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-96.836837,32.808359,"medicare","N"
"3354",3354,3354,3354,3354,3354,3354,3354,"30014","John C. Lincoln North Mountain Hospital","250 East Dunlap Avenue","Phoenix","AZ",85020,"Maricopa","(602) 331-5862","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-112.07063,33.567754,"medicare","N"
"3355",3355,3355,3355,3355,3355,3355,3355,"171371","Clay County Medical Center","617 Liberty","Clay Center","KS",67432,"Clay","(785) 632-2144","Critical Access Hospitals","Government - Local",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",16,"Above the national average",NA,"Above the national average",NA,"Not Available",5,"Above the national average",NA,"Same as the national average",NA,-97.124196,39.391681,"medicare","N"
"3356",3356,3356,3356,3356,3356,3356,3356,"141308","Washington County Hospital*","705 S Grand Ave","Nashville","IL",62263,"Washington","(618) 327-8236","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",5,"Not Available",5,-89.390016,38.339118,"medicare","N"
"3357",3357,3357,3357,3357,3357,3357,3357,"240030","Alomere Health","111 17th Avenue East","Alexandria","MN",56308,"Douglas","(320) 762-1511","Acute Care Hospitals","Government - Local",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-95.37638,45.872669,"medicare","N"
"3358",3358,3358,3358,3358,3358,3358,3358,"181301","Marcum & Wallace Memorial Hospital","60 Mercy Court","Irvine","KY",40336,"Estill","(606) 723-2115","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",16,"Above the national average",NA,"Not Available",16,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,-83.977742,37.705267,"medicare","N"
"3359",3359,3359,3359,3359,3359,3359,3359,"50197","Sequoia Hospital","170 Alameda De Las Pulgas","Redwood City","CA",94062,"San Mateo","(650) 367-5551","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"5",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-122.253223,37.480987,"medicare","N"
"3360",3360,3360,3360,3360,3360,3360,3360,"290045","Saint Rose Dominican Hospitals - Siena Campus","3001 St Rose Parkway","Henderson","NV",89052,"Clark","(702) 616-5000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2",NA,"Below the national average",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,NA,NA,"medicare","N"
"3361",3361,3361,3361,3361,3361,3361,3361,"531301","South Big Horn County Critical Access Hospital","388 Us Highway 20 South","Basin","WY",82410,"Big Horn","(307) 568-1500","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",16,"Not Available",16,"Same as the national average",NA,-108.049007,44.434449,"medicare","N"
"3362",3362,3362,3362,3362,3362,3362,3362,"230254","Ascension Providence Rochester Hospital","1101 W University Drive","Rochester","MI",48307,"Oakland","(248) 652-5000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-83.149228,42.680882,"medicare","N"
"3363",3363,3363,3363,3363,3363,3363,3363,"150024","Eskenazi Health","720 Eskenazi Avenue","Indianapolis","IN",46202,"Marion","(317) 880-4818","Acute Care Hospitals","Government - Local",TRUE,TRUE,"5",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-86.17345,39.78053,"medicare","N"
"3364",3364,3364,3364,3364,3364,3364,3364,"430091","Black Hills Surgical Hospital Llp","216 Anamaria Dr","Rapid City","SD",57703,"Pennington","(605) 721-4700","Acute Care Hospitals","Proprietary",FALSE,TRUE,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",5,"Above the national average",NA,"Not Available",5,"Not Available",16,"Not Available",5,-103.222912,44.046035,"medicare","N"
"3365",3365,3365,3365,3365,3365,3365,3365,"230180","Midmichigan Medical Center-Clare","703 N Mcewan St","Clare","MI",48617,"Clare","(989) 802-5000","Acute Care Hospitals","Voluntary non-profit - Other",FALSE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",5,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-84.768349,43.820724,"medicare","N"
"3366",3366,3366,3366,3366,3366,3366,3366,"260179","St Lukes Hospital","232 S Woods Mill Rd","Chesterfield","MO",63017,"St. Louis","(314) 434-1500","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"5",NA,"Above the national average",NA,"Below the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-90.50592,38.653066,"medicare","N"
"3367",3367,3367,3367,3367,3367,3367,3367,"231324","Eaton Rapids Medical Center","1500 S Main Street","Eaton Rapids","MI",48827,"Eaton","(517) 663-2671","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Not Available",5,"Not Available",5,"Same as the national average",NA,"Above the national average",NA,"Not Available",5,"Above the national average",NA,"Same as the national average",NA,-84.657539,42.496021,"medicare","N"
"3368",3368,3368,3368,3368,3368,3368,3368,"154055","Brentwood Springs","4488 Roslin Rd","Newburgh","IN",47630,"Warrick","(812) 858-7200","Psychiatric","Voluntary non-profit - Private",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-87.331099,37.990955,"medicare","N"
"3369",3369,3369,3369,3369,3369,3369,3369,"161361","Van Diest Medical Center","2350 Hospital Drive","Webster City","IA",50595,"Hamilton","(515) 832-9400","Critical Access Hospitals","Government - Local",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",16,"Same as the national average",NA,"Above the national average",NA,"Not Available",5,"Not Available",5,"Same as the national average",NA,-93.813485,42.452963,"medicare","N"
"3370",3370,3370,3370,3370,3370,3370,3370,"220012","Cape Cod Hospital","88 Lewis Bay Road","Hyannis","MA",2601,"Barnstable","(508) 771-1800","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"5",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-70.274847,41.652823,"medicare","N"
"3371",3371,3371,3371,3371,3371,3371,3371,"360361","Kings Daughters Medical Center Ohio","1901 Argonne Road","Portsmouth","OH",45662,"Scioto","(740) 991-4000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",5,"Not Available",16,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,-82.993354,38.747319,"medicare","N"
"3372",3372,3372,3372,3372,3372,3372,3372,"100244","Cape Coral Hospital","636 Del Prado Blvd","Cape Coral","FL",33990,"Lee","(239) 574-2323","Acute Care Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-81.940946,26.639321,"medicare","N"
"3373",3373,3373,3373,3373,3373,3373,3373,"210028","Medstar Saint Mary's Hospital","25500 Point Lookout Road","Leonardtown","MD",20650,"St. Marys","(301) 475-6001","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Below the national average",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Above the national average",NA,-76.640383,38.299239,"medicare","N"
"3374",3374,3374,3374,3374,3374,3374,3374,"121307","Hale Ho'ola Hamakua","45-547 Plumeria Street","Honokaa","HI",96727,"Hawaii","(808) 932-4100","Critical Access Hospitals","Government - State",TRUE,NA,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",16,-155.470595,20.076271,"medicare","N"
"3375",3375,3375,3375,3375,3375,3375,3375,"521347","Western Wisconsin Health","1100 Bergslien St","Baldwin","WI",54002,"St. Croix","(715) 684-1111","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,NA,"5",NA,"Not Available",5,"Not Available",16,"Same as the national average",NA,"Above the national average",NA,"Not Available",5,"Above the national average",NA,"Same as the national average",NA,-92.376028,44.941282,"medicare","N"
"3376",3376,3376,3376,3376,3376,3376,3376,"64001","Colorado Mental Health Institute At Pueblo-Psych","1600 W 24th St","Pueblo","CO",81003,"Pueblo","(719) 546-4000","Psychiatric","Government - State",TRUE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-104.631617,38.290987,"medicare","N"
"3377",3377,3377,3377,3377,3377,3377,3377,"370206","Oklahoma Spine Hospital","14101 Parkway Commons Drive","Oklahoma City","OK",73134,"Oklahoma","(405) 749-2700","Acute Care Hospitals","Physician",TRUE,NA,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",5,"Above the national average",NA,"Not Available",5,"Not Available",5,"Not Available",16,-97.582124,35.614137,"medicare","N"
"3378",3378,3378,3378,3378,3378,3378,3378,"380018","Asante Rogue Regional Medical Center","2825 E Barnett Road","Medford","OR",97504,"Jackson","(541) 789-7000","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"5",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-122.830443,42.316483,"medicare","N"
"3379",3379,3379,3379,3379,3379,3379,3379,"90003","Howard University Hospital","2041 Georgia Ave Nw","Washington","DC",20060,"The District","(202) 745-6100","Acute Care Hospitals","Voluntary non-profit - Other",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Not Available",5,-77.021896,38.917011,"medicare","N"
"3380",3380,3380,3380,3380,3380,3380,3380,"271329","Madison Valley Medical Center","305 N Main","Ennis","MT",59729,"Madison","(406) 682-4222","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,NA,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",5,"Not Available",16,-111.732567,45.3514,"medicare","N"
"3381",3381,3381,3381,3381,3381,3381,3381,"521328","Marshfield Medical Center - Ladysmith","900 College Ave West","Ladysmith","WI",54848,"Rusk","(715) 532-5561","Critical Access Hospitals","Government - Local",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",5,-91.11113,45.455605,"medicare","N"
"3382",3382,3382,3382,3382,3382,3382,3382,"191303","Assumption Community Hospital","135 Highway 402","Napoleonville","LA",70390,"Assumption","(985) 369-3600","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",16,-91.033875,29.957585,"medicare","N"
"3383",3383,3383,3383,3383,3383,3383,3383,"511314","Pocahontas Memorial Hospital","150 Duncan Road","Buckeye","WV",24924,"Pocahontas","(304) 799-7400","Critical Access Hospitals","Voluntary non-profit - Other",TRUE,TRUE,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",5,"Above the national average",NA,"Not Available",5,-80.108701,38.201423,"medicare","N"
"3384",3384,3384,3384,3384,3384,3384,3384,"261328","Mosaic Medical Center Albany","705 N College Street","Albany","MO",64402,"Gentry","(660) 726-3941","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available",16,"Not Available",5,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Not Available",16,"Not Available",5,"Same as the national average",NA,-94.325476,40.252124,"medicare","N"
"3385",3385,3385,3385,3385,3385,3385,3385,"340186","Vidant Beaufort Hospital","628 E 12th St","Washington","NC",27889,"Beaufort","(252) 975-4100","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-77.038833,35.548662,"medicare","N"
"3386",3386,3386,3386,3386,3386,3386,3386,"51335","Bear Valley Community Hospital","41870 Garstin Dr","Big Bear Lake","CA",92315,"San Bernardino","(909) 866-6501","Critical Access Hospitals","Government - Hospital District or Authority",FALSE,TRUE,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",5,"Not Available",16,-116.888343,34.246023,"medicare","N"
"3387",3387,3387,3387,3387,3387,3387,3387,"104081","Blackberry Center","91 Beehive Cir","Saint Cloud","FL",34769,"Osceola","(321) 805-5090","Psychiatric","Voluntary non-profit - Private",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-81.313691,28.260176,"medicare","N"
"3388",3388,3388,3388,3388,3388,3388,3388,"241376","Glacial Ridge Hospital","10 4th Avenue Southeast","Glenwood","MN",56334,"Pope","(320) 634-4521","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,NA,"Not Available",16,"Not Available",5,"Not Available",5,"Not Available",5,"Above the national average",NA,"Not Available",5,"Above the national average",NA,"Same as the national average",NA,-95.38987,45.646757,"medicare","N"
"3389",3389,3389,3389,3389,3389,3389,3389,"60013","Mercy Regional Medical Center","1010 Three Springs Blvd","Durango","CO",81301,"La Plata","(970) 247-4311","Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"5",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-107.824841,37.235054,"medicare","N"
"3390",3390,3390,3390,3390,3390,3390,3390,"131314","Shoshone Medical Center","25 Jacobs Gulch Road","Kellogg","ID",83837,"Shoshone","(208) 784-1221","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"4",NA,"Not Available",5,"Not Available",16,"Above the national average",NA,"Not Available",16,"Not Available",5,"Same as the national average",NA,"Same as the national average",NA,-116.131409,47.547123,"medicare","N"
"3391",3391,3391,3391,3391,3391,3391,3391,"241303","Sanford Tracy Medical Center","251 Fifth Street East","Tracy","MN",56175,"Lyon","(507) 629-8400","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",5,-95.60675,44.232237,"medicare","N"
"3392",3392,3392,3392,3392,3392,3392,3392,"521349","River Falls Area Hospital","1629 E Division St","River Falls","WI",54022,"Pierce","(715) 307-6000","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Not Available",5,-92.602829,44.862859,"medicare","N"
"3393",3393,3393,3393,3393,3393,3393,3393,"110031","Wellstar Spalding Regional Hospital","601 South 8th Street","Griffin","GA",30223,"Spalding","(770) 228-2721","Acute Care Hospitals","Proprietary",TRUE,TRUE,"2",NA,"Below the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-84.265671,33.239215,"medicare","N"
"3394",3394,3394,3394,3394,3394,3394,3394,"41317","Dallas County Medical Center","201 Clifton Street","Fordyce","AR",71742,"Dallas","(870) 352-6300","Critical Access Hospitals","Government - Local",TRUE,NA,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",5,-92.425058,33.811158,"medicare","N"
"3395",3395,3395,3395,3395,3395,3395,3395,"144016","Alton Mental Health Center","4500 College Avenue","Alton","IL",62002,"Madison","(618) 474-3800","Psychiatric","Government - State",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-90.116239,38.909042,"medicare","N"
"3396",3396,3396,3396,3396,3396,3396,3396,"150165","Franciscan Health Munster","701 Superior Ave","Munster","IN",46321,"Lake","(219) 922-4200","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Above the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-87.512328,41.537258,"medicare","N"
"3397",3397,3397,3397,3397,3397,3397,3397,"250134","Whitfield Medical Surgical Hospital","3550 Hwy 468 W, Bldg 60","Whitfield","MS",39193,"Rankin","(601) 351-8023","Acute Care Hospitals","Government - State",FALSE,NA,"Not Available",16,"Not Available",5,"Not Available",5,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",16,NA,NA,"medicare","N"
"3398",3398,3398,3398,3398,3398,3398,3398,"100053","Hialeah Hospital","651 E 25th St","Hialeah","FL",33013,"Miami-Dade","(305) 693-6100","Acute Care Hospitals","Proprietary",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-80.268881,25.844931,"medicare","N"
"3399",3399,3399,3399,3399,3399,3399,3399,"320018","Memorial Medical Center","2450 South Telshor Blvd","Las Cruces","NM",88011,"Dona Ana","(575) 522-8641","Acute Care Hospitals","Proprietary",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,-106.735018,32.291993,"medicare","N"
"3400",3400,3400,3400,3400,3400,3400,3400,"194073","Oceans Hospital Of Broussard","420 Albertsons Parkway","Broussard","LA",70518,"Lafayette","(337) 839-9008","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,NA,"medicare","N"
"3401",3401,3401,3401,3401,3401,3401,3401,"70005","Waterbury Hospital","64 Robbins St","Waterbury","CT",6721,"New Haven","(203) 573-6000","Acute Care Hospitals","Proprietary",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-73.058608,41.558269,"medicare","Y"
"3402",3402,3402,3402,3402,3402,3402,3402,"450403","Medical City Mckinney","4500 Medical Center Drive","Mckinney","TX",75069,"Collin","(972) 547-8000","Acute Care Hospitals","Proprietary",TRUE,TRUE,"2",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,"Same as the national average",NA,-96.635503,33.159842,"medicare","N"
"3403",3403,3403,3403,3403,3403,3403,3403,"441319","(Closed) Cumberland River Hospital","100 Old Jefferson St","Celina","TN",38551,"Clay","(931) 243-3581","Critical Access Hospitals","Physician",TRUE,NA,"3",NA,"Same as the national average",NA,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",5,-85.501173,36.544736,"medicare","N"
"3404",3404,3404,3404,3404,3404,3404,3404,"161305","Pocahontas Community Hospital","606 N W 7th Street","Pocahontas","IA",50574,"Pocahontas","(712) 335-3501","Critical Access Hospitals","Government - Local",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,-94.678778,42.740822,"medicare","N"
"3405",3405,3405,3405,3405,3405,3405,3405,"390046","York Hospital","1001 South George Street","York","PA",17403,"York","(717) 851-2345","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Above the national average",NA,"Below the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,-76.720535,39.946668,"medicare","N"
"3406",3406,3406,3406,3406,3406,3406,3406,"201307","Millinocket Regional Hospital","200 Somerset Street","Millinocket","ME",4462,"Penobscot","(207) 723-5161","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"4",NA,"Same as the national average",NA,"Not Available",5,"Below the national average",NA,"Above the national average",NA,"Not Available",16,"Not Available",16,"Same as the national average",NA,-68.715076,45.652729,"medicare","N"
"3407",3407,3407,3407,3407,3407,3407,3407,"50348","University Of California Irvine Med Center","101 City Drive South","Orange","CA",92868,"Orange","(714) 456-6112","Acute Care Hospitals","Government - Local",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,-117.894303,33.780111,"medicare","N"
"3408",3408,3408,3408,3408,3408,3408,3408,"364048","Haven Behavioral Hospital Of Dayton","One Elizabeth Place, E3 Suite A","Dayton","OH",45417,"Montgomery","(937) 234-0103","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,NA,NA,"medicare","N"
"3409",3409,3409,3409,3409,3409,3409,3409,"530014","Cheyenne Regional Medical Center","214 East 23rd Street","Cheyenne","WY",82001,"Laramie","(307) 633-7600","Acute Care Hospitals","Voluntary non-profit - Other",TRUE,TRUE,"5",NA,"Above the national average",NA,"Above the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Same as the national average",NA,-104.817036,41.139789,"medicare","N"
"3410",3410,3410,3410,3410,3410,3410,3410,"100080","Jfk Medical Center","5301 S Congress Ave","Atlantis","FL",33462,"Palm Beach","(561) 965-7300","Acute Care Hospitals","Proprietary",TRUE,TRUE,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Above the national average",NA,-80.09031,26.598548,"medicare","N"
"3411",3411,3411,3411,3411,3411,3411,3411,"371330","Mangum Regional Medical Center","1 Wickersham Drive","Mangum","OK",73554,"Greer","(580) 782-3353","Critical Access Hospitals","Proprietary",TRUE,NA,"Not Available",16,"Not Available",5,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,-99.502341,34.891823,"medicare","N"
"3412",3412,3412,3412,3412,3412,3412,3412,"400005","Hima San Pablo Humacao","Calle Font Martelo #3","Humacao","PR",791,"Humacao","(787) 852-2424","Acute Care Hospitals","Proprietary",TRUE,TRUE,"Not Available",16,"Not Available",16,"Not Available",16,"Not Available",5,"Not Available",16,"Not Available",5,"Not Available",5,"Not Available",16,NA,NA,"medicare","N"
"3413",3413,3413,3413,3413,3413,3413,3413,"330028","Richmond University Medical Center","355 Bard Avenue","Staten Island","NY",10310,"Richmond","(718) 818-1234","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"1",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Below the national average",NA,"Below the national average",NA,"Same as the national average",NA,-74.106693,40.63551,"medicare","Y"
"3414",3414,3414,3414,3414,3414,3414,3414,"191316","Pointe Coupee General Hospital","2202 False River Drive","New Roads","LA",70760,"Pointe Coupee","(225) 368-6386","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,NA,"Not Available",16,"Not Available",5,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Not Available",5,"Not Available",5,"Not Available",5,-91.461372,30.682516,"medicare","N"
"3415",3415,3415,3415,3415,3415,3415,3415,"230270","Beaumont Hospital - Taylor","10000 Telegraph Road","Taylor","MI",48180,"Wayne","(313) 295-5253","Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Above the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,-83.269667,42.233501,"medicare","N"
"3416",3416,3416,3416,3416,3416,3416,3416,"441303","Three Rivers Hospital","451 Highway 13 South","Waverly","TN",37185,"Humphreys","(931) 296-4203","Critical Access Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available",16,"Not Available",5,"Not Available",16,"Same as the national average",NA,"Not Available",16,"Not Available",5,"Above the national average",NA,"Not Available",5,-87.792741,36.075057,"medicare","N"
"3417",3417,3417,3417,3417,3417,3417,3417,"103300","Johns Hopkins All Children's Hospital","501 Sixth Avenue South","Saint Petersburg","FL",33701,"Pinellas","(813) 898-7451","Childrens","Voluntary non-profit - Other",TRUE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-82.641012,27.764249,"medicare","N"
"3418",3418,3418,3418,3418,3418,3418,3418,"364015","Appalachian Behavioral Health Care","100 Hospital Drive","Athens","OH",45701,"Athens","(740) 594-5000","Psychiatric","Proprietary",FALSE,NA,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,"Not Available",19,-82.115348,39.328665,"medicare","N"
"3419",3419,3419,3419,3419,3419,3419,3419,"111335","Liberty Regional Medical Center","462 E G Miles Parkway","Hinesville","GA",31310,"Liberty","(912) 369-9438","Critical Access Hospitals","Government - Hospital District or Authority",TRUE,TRUE,"3",NA,"Same as the national average",NA,"Not Available",5,"Same as the national average",NA,"Same as the national average",NA,"Below the national average",NA,"Same as the national average",NA,"Same as the national average",NA,NA,NA,"medicare","N"
